id,name,description
1,图书馆正门,图书馆正门口台阶处，有长椅
2,一食堂门口,第一学生食堂入口左侧
3,二食堂门口,第二学生食堂入口右侧
4,体育馆北门,体育馆北侧入口，靠近篮球场
5,教学楼A座,A座一层大厅休息区
6,教学楼B座,B座一层大厅休息区
7,实验楼大厅,实验楼一层大厅
8,快递驿站,校园快递集中取件点
9,西门口,校园西侧大门内十米
10,东门口,校园东侧大门内十米
11,南门口,校园南侧大门保安亭旁
12,北门口,校园北侧大门保安亭旁
13,操场看台,操场东侧看台下方
14,学生活动中心,学生活动中心一楼大厅
15,校医院门口,校医院正门左侧
16,超市入口,校园生活超市入口处
17,宿舍楼3栋,3栋宿舍楼下公告栏旁
18,宿舍楼5栋,5栋宿舍楼下公告栏旁
19,宿舍楼7栋,7栋宿舍楼下公告栏旁
20,宿舍楼9栋,9栋宿舍楼下公告栏旁
21,创业园,大学生创业园门口
22,游泳馆,游泳馆前台旁
23,网球场,网球场入口长椅
24,篮球场,篮球场西侧休息区
25,足球场,足球场东侧入口
26,学术交流中心,学术交流中心大厅
27,校友广场,校友广场喷泉旁
28,樱花大道,樱花大道中段凉亭
29,湖畔,人工湖畔观景平台
30,天桥下,教学区与生活区天桥下
