id,product_id,buyer_id,seller_id,order_status,total_price,delivery_method,meetup_location_id,meetup_time_slot,shipping_address_id,shipping_provider,tracking_number,create_time
100001,4540,64,816,PENDING_PAYMENT,50.0,EXPRESS,,,137,SF,,2026-08-12 10:33:42
100002,1075,600,36,PENDING_PAYMENT,5.0,MEETUP,12,17:00-18:00,,,,2026-08-12 00:49:42
100003,2352,560,65,PENDING_PAYMENT,15.0,MEETUP,18,19:00-20:00,,,,2026-08-12 08:19:42
100004,1417,100,238,PENDING_PAYMENT,100.0,MEETUP,4,12:00-13:00,,,,2026-08-11 01:59:42
100005,3937,399,114,PENDING_PAYMENT,2.0,EXPRESS,,,808,SF,,2026-08-10 16:20:42
100006,2291,866,267,PENDING_PAYMENT,10.0,MEETUP,13,18:00-19:00,,,,2026-08-09 16:39:42
100007,850,678,154,PENDING_PAYMENT,5.0,EXPRESS,,,1357,SF,,2026-08-09 09:06:42
100008,970,31,131,PENDING_PAYMENT,80.0,EXPRESS,,,64,SF,,2026-08-10 11:59:42
100009,1063,422,15,PENDING_PAYMENT,12.0,MEETUP,28,18:00-19:00,,,,2026-08-10 11:56:42
100010,262,185,610,PENDING_PAYMENT,25.0,EXPRESS,,,389,SF,,2026-08-09 01:08:42
100011,3396,346,237,PENDING_PAYMENT,2.0,MEETUP,11,19:00-20:00,,,,2026-08-08 06:29:42
100012,3204,472,719,PENDING_PAYMENT,3.0,MEETUP,14,12:00-13:00,,,,2026-08-13 14:00:42
100013,791,114,132,PENDING_PAYMENT,80.0,MEETUP,9,18:00-19:00,,,,2026-08-08 05:50:42
100014,2933,901,582,PENDING_PAYMENT,50.0,EXPRESS,,,1796,SF,,2026-08-07 00:23:42
100015,2445,921,657,PENDING_PAYMENT,120.0,EXPRESS,,,1838,SF,,2026-08-07 21:33:42
100016,544,613,899,PENDING_PAYMENT,30.0,EXPRESS,,,1222,SF,,2026-08-14 03:08:42
100017,3433,965,82,PENDING_PAYMENT,5.0,MEETUP,26,12:00-13:00,,,,2026-08-08 13:57:42
100018,1798,497,809,PENDING_PAYMENT,60.0,MEETUP,1,18:00-19:00,,,,2026-08-07 05:55:42
100019,1347,203,28,PENDING_PAYMENT,3.0,MEETUP,23,12:00-13:00,,,,2026-08-12 04:10:42
100020,2012,156,333,PENDING_PAYMENT,100.0,EXPRESS,,,324,SF,,2026-08-14 10:43:42
100021,4010,946,330,PENDING_PAYMENT,120.0,EXPRESS,,,1893,SF,,2026-08-15 05:47:42
100022,2818,588,353,PENDING_PAYMENT,2.0,EXPRESS,,,1175,SF,,2026-08-15 02:32:42
100023,578,122,371,PENDING_PAYMENT,2.0,EXPRESS,,,250,SF,,2026-08-09 04:02:42
100024,977,394,105,PENDING_PAYMENT,50.0,MEETUP,4,18:00-19:00,,,,2026-08-07 12:22:42
100025,414,609,147,PENDING_PAYMENT,120.0,EXPRESS,,,1215,SF,,2026-08-09 02:07:42
100026,3232,902,476,PENDING_PAYMENT,150.0,MEETUP,3,12:00-13:00,,,,2026-08-07 13:20:42
100027,1889,703,229,PENDING_PAYMENT,200.0,EXPRESS,,,1403,SF,,2026-08-16 14:28:42
100028,373,685,398,PENDING_PAYMENT,25.0,MEETUP,11,19:00-20:00,,,,2026-08-11 22:15:42
100029,1740,384,182,PENDING_PAYMENT,15.0,EXPRESS,,,776,SF,,2026-08-08 08:06:42
100030,4495,298,894,PENDING_PAYMENT,1.0,MEETUP,28,12:00-13:00,,,,2026-08-11 23:07:42
100031,2969,644,679,PENDING_PAYMENT,80.0,EXPRESS,,,1281,SF,,2026-08-14 02:24:42
