id,seller_id,category_id,title,description,price,condition_level,cover_image,status,delivery_options,create_time,update_time
1,17,12,乐器音响商品_0001,这是一个测试商品，编号1，属于乐器音响分类。,30.0,5,/uploads/product/cover_3.jpg,ON_SALE,EXPRESS,2026-07-31 13:57:42,2026-08-14 22:41:42
2,526,10,家居家电商品_0002,这是一个测试商品，编号2，属于家居家电分类。,12.0,3,/uploads/product/cover_1.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-04 14:53:42,2026-08-12 07:23:42
3,909,8,美妆护肤商品_0003,这是一个测试商品，编号3，属于美妆护肤分类。,15.0,3,/uploads/product/cover_11.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-02 11:05:42,2026-08-13 22:43:42
4,422,3,日用百货商品_0004,这是一个测试商品，编号4，属于日用百货分类。,200.0,2,/uploads/product/cover_12.jpg,ON_SALE,MEETUP,2026-08-16 18:37:42,2026-08-16 13:16:42
5,97,3,日用百货商品_0005,这是一个测试商品，编号5，属于日用百货分类。,120.0,5,/uploads/product/cover_11.jpg,ON_SALE,"MEETUP,EXPRESS",2026-07-30 15:12:42,2026-08-13 16:15:42
6,181,6,零食饮料商品_0006,这是一个测试商品，编号6，属于零食饮料分类。,1.0,5,/uploads/product/cover_1.jpg,ON_SALE,MEETUP,2026-08-04 14:59:42,2026-08-16 17:26:42
7,617,4,运动户外商品_0007,这是一个测试商品，编号7，属于运动户外分类。,50.0,1,/uploads/product/cover_9.jpg,ON_SALE,MEETUP,2026-08-03 18:52:42,2026-08-16 14:20:42
8,249,3,日用百货商品_0008,这是一个测试商品，编号8，属于日用百货分类。,60.0,4,/uploads/product/cover_3.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-13 18:59:42,2026-08-15 11:58:42
9,131,2,电子数码商品_0009,这是一个测试商品，编号9，属于电子数码分类。,8.0,3,/uploads/product/cover_3.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-15 21:58:42,2026-08-14 01:10:42
10,384,8,美妆护肤商品_0010,这是一个测试商品，编号10，属于美妆护肤分类。,5.0,4,/uploads/product/cover_14.jpg,ON_SALE,MEETUP,2026-08-08 18:57:42,2026-08-14 09:31:42
11,743,15,手工艺品商品_0011,这是一个测试商品，编号11，属于手工艺品分类。,10.0,3,/uploads/product/cover_6.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-02 05:41:42,2026-08-14 06:03:42
12,990,2,电子数码商品_0012,这是一个测试商品，编号12，属于电子数码分类。,5.0,5,/uploads/product/cover_3.jpg,ON_SALE,MEETUP,2026-08-09 18:32:42,2026-08-12 19:08:42
13,818,12,乐器音响商品_0013,这是一个测试商品，编号13，属于乐器音响分类。,80.0,3,/uploads/product/cover_16.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-08 11:33:42,2026-08-12 05:50:42
14,503,9,游戏动漫商品_0014,这是一个测试商品，编号14，属于游戏动漫分类。,8.0,2,/uploads/product/cover_6.jpg,ON_SALE,MEETUP,2026-08-12 19:12:42,2026-08-15 04:13:42
15,976,7,文具办公商品_0015,这是一个测试商品，编号15，属于文具办公分类。,50.0,4,/uploads/product/cover_1.jpg,ON_SALE,EXPRESS,2026-08-04 05:10:42,2026-08-13 06:56:42
16,716,3,日用百货商品_0016,这是一个测试商品，编号16，属于日用百货分类。,3.0,2,/uploads/product/cover_9.jpg,ON_SALE,"MEETUP,EXPRESS",2026-07-28 03:59:42,2026-08-13 01:27:42
17,523,13,交通工具商品_0017,这是一个测试商品，编号17，属于交通工具分类。,150.0,5,/uploads/product/cover_10.jpg,ON_SALE,MEETUP,2026-08-02 16:13:42,2026-08-15 00:52:42
18,655,6,零食饮料商品_0018,这是一个测试商品，编号18，属于零食饮料分类。,80.0,1,/uploads/product/cover_2.jpg,ON_SALE,MEETUP,2026-08-13 02:36:42,2026-08-12 00:25:42
19,309,3,日用百货商品_0019,这是一个测试商品，编号19，属于日用百货分类。,30.0,2,/uploads/product/cover_11.jpg,ON_SALE,MEETUP,2026-08-10 09:52:42,2026-08-13 19:29:42
20,900,9,游戏动漫商品_0020,这是一个测试商品，编号20，属于游戏动漫分类。,3.0,2,/uploads/product/cover_4.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-14 08:05:42,2026-08-13 10:17:42
21,756,3,日用百货商品_0021,这是一个测试商品，编号21，属于日用百货分类。,2.0,3,/uploads/product/cover_9.jpg,ON_SALE,EXPRESS,2026-08-11 18:30:42,2026-08-14 09:14:42
22,839,13,交通工具商品_0022,这是一个测试商品，编号22，属于交通工具分类。,15.0,1,/uploads/product/cover_4.jpg,ON_SALE,EXPRESS,2026-07-28 03:06:42,2026-08-15 01:20:42
23,83,3,日用百货商品_0023,这是一个测试商品，编号23，属于日用百货分类。,60.0,4,/uploads/product/cover_8.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-03 11:36:42,2026-08-15 08:12:42
24,601,9,游戏动漫商品_0024,这是一个测试商品，编号24，属于游戏动漫分类。,200.0,5,/uploads/product/cover_6.jpg,ON_SALE,EXPRESS,2026-08-14 02:22:42,2026-08-14 00:04:42
25,430,1,教材教辅商品_0025,这是一个测试商品，编号25，属于教材教辅分类。,120.0,4,/uploads/product/cover_13.jpg,ON_SALE,MEETUP,2026-08-16 07:01:42,2026-08-16 15:53:42
26,187,3,日用百货商品_0026,这是一个测试商品，编号26，属于日用百货分类。,15.0,3,/uploads/product/cover_10.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-08 16:04:42,2026-08-15 11:00:42
27,31,12,乐器音响商品_0027,这是一个测试商品，编号27，属于乐器音响分类。,20.0,4,/uploads/product/cover_2.jpg,ON_SALE,MEETUP,2026-07-27 19:22:42,2026-08-13 18:03:42
28,969,8,美妆护肤商品_0028,这是一个测试商品，编号28，属于美妆护肤分类。,100.0,2,/uploads/product/cover_4.jpg,ON_SALE,EXPRESS,2026-07-31 06:52:42,2026-08-16 12:45:42
29,64,2,电子数码商品_0029,这是一个测试商品，编号29，属于电子数码分类。,80.0,5,/uploads/product/cover_15.jpg,ON_SALE,EXPRESS,2026-07-28 23:17:42,2026-08-16 16:50:42
30,827,1,教材教辅商品_0030,这是一个测试商品，编号30，属于教材教辅分类。,150.0,1,/uploads/product/cover_7.jpg,ON_SALE,MEETUP,2026-08-01 15:40:42,2026-08-15 20:24:42
31,766,10,家居家电商品_0031,这是一个测试商品，编号31，属于家居家电分类。,20.0,4,/uploads/product/cover_18.jpg,ON_SALE,MEETUP,2026-08-14 19:49:42,2026-08-13 14:07:42
32,963,11,图书小说商品_0032,这是一个测试商品，编号32，属于图书小说分类。,2.0,5,/uploads/product/cover_2.jpg,ON_SALE,EXPRESS,2026-07-31 10:49:42,2026-08-11 22:37:42
33,866,14,宠物用品商品_0033,这是一个测试商品，编号33，属于宠物用品分类。,12.0,5,/uploads/product/cover_11.jpg,ON_SALE,MEETUP,2026-08-15 22:48:42,2026-08-16 12:27:42
34,349,6,零食饮料商品_0034,这是一个测试商品，编号34，属于零食饮料分类。,100.0,5,/uploads/product/cover_6.jpg,ON_SALE,EXPRESS,2026-08-13 18:25:42,2026-08-15 01:22:42
35,693,9,游戏动漫商品_0035,这是一个测试商品，编号35，属于游戏动漫分类。,12.0,1,/uploads/product/cover_16.jpg,ON_SALE,"MEETUP,EXPRESS",2026-08-01 23:07:42,2026-08-15 20:41:42
36,480,7,文具办公商品_0036,这是一个测试商品，编号36，属于文具办公分类。,20.0,1,/uploads/product/cover_14.jpg,ON_SALE,"MEETUP,EXPRESS",2026-07-29 20:23:42,2026-08-15 23:25:42
